School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,BIN,BBL,Census Tract (2020),Neighborhood Tabulation Area (NTA) (2020),Location 1
ACAD. OF MEDICAL TECHNOLOGY - Q,Q,27,FY23 RESO A ELECTRICAL UPGRADE,317925,CIP,Q465,8-21 BAY 25 STREET,Queens,11691,QUEENS,40.60201,-73.762795,414,31,4300730,4157360001,100804,QN1401,"(40.60201, -73.762795)"
P.S. 87 - QUEENS,Q,24,EXTERIOR MASONRY / ROOFS,5986344,CIP,Q087,67-54 80 STREET,Queens,11373,QUEENS,40.745923,-73.880205,404,25,4037370,4015140001,27101,QN0401,"(40.745923, -73.880205)"
FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,X,9,FY23 RESO A PLAYGROUND UPGRADE / ROOFS,8855000,CIP,X148,3630 THIRD AVENUE,Bronx,10451,BRONX,40.823033,-73.921238,204,16,2002458,2024430190,61,BX0401,"(40.823033, -73.921238)"
I.S. 141 - QUEENS,Q,30,LSP CAFETERIA CEILING REPLACEMENT,472854,CIP,Q141,37-11 21 AVENUE,Queens,11414,QUEENS,40.659873,-73.835068,410,32,4295163,4141680016,884,QN1003,"(40.659873, -73.835068)"
URBAN SCHOLARS COMMUNITY SCHOOL,X,12,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,615000,CIP,X198,1180 TINTON AVENUE,Bronx,10456,BRONX,40.827642,-73.904473,203,17,2004526,2026340001,135,BX0301,"(40.827642, -73.904473)"
P.S. 287 - BROOKLYN,K,13,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,555000,CIP,K287,50 NAVY STREET,Brooklyn,11207,BROOKLYN,40.671987,-73.893896,305,42,3083931,3037400001,1144,BK0502,"(40.671987, -73.893896)"
P.S. 4 - STATEN ISLAND,R,31,CHILLER COMPRESSOR REPLACEMENT,3930000,CIP,R004,200 NEDRA LANE,Staten Island,10307,STATEN IS,40.510735,-74.231109,503,51,5131697,5077600001,24401,SI0305,"(40.510735, -74.231109)"
P.S. 128 - QUEENS,Q,24,FY24 RESO A AUDITORIUM UPGRADE / FY24 RESO A PLAYGROUND UPGRADE,1545000,CIP,Q247,69-10 65TH DRIVE,Queens,11421,QUEENS,40.691765,-73.849006,409,32,4538070,4089750100,20,QN0905,"(40.691765, -73.849006)"
P.S. 126 - MANHATTAN,M,2,ROOFS / PARAPETS / WINDOWS / EXTERIOR MASONRY,26926890,CIP,M126,80 CATHERINE STREET,Manhattan,10002,MANHATTAN,40.716553,-73.993092,103,1,1082489,1003010003,16,MN0301,"(40.716553, -73.993092)"
P.S./I.S. 26 - STATEN ISLAND,R,31,ELECTRICAL WORK FOR A/C INITIATIVE,3146.56,CIP,R026,4108 VICTORY BOULEVARD,Staten Island,10314,STATEN IS,40.618439,-74.132645,501,50,5113069,5004230009,201,SI0105,"(40.618439, -74.132645)"
